,sample,sex,pop,pop_name,superpop,superpop_name
438,HG01805,female,CDX,Dai Chinese,EAS,East Asian Ancestry
439,HG02537,female,ACB,African Caribbean,AFR,African Ancestry
440,HG01812,female,CDX,Dai Chinese,EAS,East Asian Ancestry
441,HG02549,female,ACB,African Caribbean,AFR,African Ancestry
442,HG02012,female,ACB,African Caribbean,AFR,African Ancestry
443,HG02106,female,PEL,Peruvian,AMR,American Ancestry
444,HG02727,male,PJL,Punjabi,SAS,South Asian Ancestry
445,HG02113,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
446,HG02734,female,PJL,Punjabi,SAS,South Asian Ancestry
447,HG02120,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
448,HG02132,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
449,HG02760,female,GWD,Gambian Mandinka,AFR,African Ancestry
450,HG02137,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
451,HG02594,male,GWD,Gambian Mandinka,AFR,African Ancestry
452,HG02144,female,ACB,African Caribbean,AFR,African Ancestry
453,HG02151,female,CDX,Dai Chinese,EAS,East Asian Ancestry
454,HG02602,male,PJL,Punjabi,SAS,South Asian Ancestry
455,HG02156,female,CDX,Dai Chinese,EAS,East Asian Ancestry
456,HG02614,female,GWD,Gambian Mandinka,AFR,African Ancestry
457,HG02048,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
458,HG02676,female,GWD,Gambian Mandinka,AFR,African Ancestry
459,HG02050,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
460,HG02055,male,ACB,African Caribbean,AFR,African Ancestry
461,HG02688,female,PJL,Punjabi,SAS,South Asian Ancestry
462,HG02067,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
463,HG02690,male,PJL,Punjabi,SAS,South Asian Ancestry
464,HG02252,female,PEL,Peruvian,AMR,American Ancestry
465,HG02703,female,GWD,Gambian Mandinka,AFR,African Ancestry
466,HG02257,female,ACB,African Caribbean,AFR,African Ancestry
467,HG02715,male,GWD,Gambian Mandinka,AFR,African Ancestry
468,HG02271,male,PEL,Peruvian,AMR,American Ancestry
469,HG02722,female,GWD,Gambian Mandinka,AFR,African Ancestry
470,HG02645,male,GWD,Gambian Mandinka,AFR,African Ancestry
471,HG02017,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
472,HG02652,female,PJL,Punjabi,SAS,South Asian Ancestry
473,HG02024,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
474,HG02657,male,PJL,Punjabi,SAS,South Asian Ancestry
475,HG02029,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
476,HG02772,female,GWD,Gambian Mandinka,AFR,African Ancestry
477,HG02031,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
478,HG02784,female,PJL,Punjabi,SAS,South Asian Ancestry
479,HG02283,male,ACB,African Caribbean,AFR,African Ancestry
480,HG02621,female,GWD,Gambian Mandinka,AFR,African Ancestry
481,HG02303,female,PEL,Peruvian,AMR,American Ancestry
482,HG02219,male,IBS,Iberian,EUR,European Ancestry
483,HG02221,male,IBS,Iberian,EUR,European Ancestry
484,HG02943,female,ESN,Esan,Esan,AFR,African Ancestry,Africa (SGDP)
485,HG02233,male,IBS,Iberian,EUR,European Ancestry
486,HG02238,male,IBS,Iberian,EUR,European Ancestry
487,HG03097,female,MSL,Mende,AFR,African Ancestry
488,HG02240,female,IBS,Iberian,EUR,European Ancestry
489,HG03100,male,ESN,Esan,Esan,AFR,African Ancestry,Africa (SGDP)
490,HG02074,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
491,HG03105,female,ESN,Esan,AFR,African Ancestry
492,HG02079,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
493,HG03112,male,ESN,Esan,AFR,African Ancestry
494,HG02081,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
495,HG03117,female,ESN,Esan,AFR,African Ancestry
496,HG02086,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
497,HG03009,male,BEB,Bengali,SAS,South Asian Ancestry
498,HG03016,female,PJL,Punjabi,SAS,South Asian Ancestry
499,HG02182,female,CDX,Dai Chinese,EAS,East Asian Ancestry
500,HG03028,female,GWD,Gambian Mandinka,AFR,African Ancestry
501,HG02187,female,CDX,Dai Chinese,EAS,East Asian Ancestry
502,HG03066,male,MSL,Mende,AFR,African Ancestry
503,HG02485,female,ACB,African Caribbean,AFR,African Ancestry
504,HG03073,female,MSL,Mende,AFR,African Ancestry
505,HG02492,male,PJL,Punjabi,SAS,South Asian Ancestry
506,HG03078,male,MSL,Mende,Mende,AFR,African Ancestry,Africa (SGDP)
507,HG02497,female,ACB,African Caribbean,AFR,African Ancestry
508,HG02505,female,ACB,African Caribbean,AFR,African Ancestry
509,HG03085,female,MSL,Mende,Mende,AFR,African Ancestry,Africa (SGDP)
510,HG02512,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
511,HG02789,male,PJL,Punjabi,SAS,South Asian Ancestry
512,HG02791,male,PJL,Punjabi,SAS,South Asian Ancestry
513,HG02536,male,ACB,African Caribbean,AFR,African Ancestry
514,HG02804,male,GWD,Gambian Mandinka,AFR,African Ancestry
515,HG02555,female,ACB,African Caribbean,AFR,African Ancestry
516,HG02562,female,GWD,Gambian Mandinka,AFR,African Ancestry
517,HG02574,female,GWD,Gambian Mandinka,Gambian,AFR,African Ancestry,Africa (SGDP)
518,HG03054,male,MSL,Mende,AFR,African Ancestry
519,HG02586,female,GWD,Gambian Mandinka,AFR,African Ancestry
520,HG02461,male,GWD,Gambian Mandinka,AFR,African Ancestry
521,HG03061,female,MSL,Mende,AFR,African Ancestry
522,HG02854,male,GWD,Gambian Mandinka,AFR,African Ancestry
523,HG02478,male,ACB,African Caribbean,AFR,African Ancestry
524,HG02861,female,GWD,Gambian Mandinka,AFR,African Ancestry
525,HG02480,female,ACB,African Caribbean,AFR,African Ancestry
526,HG02878,male,GWD,Gambian Mandinka,AFR,African Ancestry
527,HG02353,male,CDX,Dai Chinese,EAS,East Asian Ancestry
528,HG02885,female,GWD,Gambian Mandinka,AFR,African Ancestry
529,HG02360,male,CDX,Dai Chinese,EAS,East Asian Ancestry
530,HG02974,female,ESN,Esan,AFR,African Ancestry
531,HG02372,male,CDX,Dai Chinese,EAS,East Asian Ancestry
532,HG02979,female,ESN,Esan,AFR,African Ancestry
533,HG02377,male,CDX,Dai Chinese,EAS,East Asian Ancestry
534,HG02981,male,ESN,Esan,AFR,African Ancestry
535,HG02409,male,CDX,Dai Chinese,EAS,East Asian Ancestry
536,HG02811,female,GWD,Gambian Mandinka,AFR,African Ancestry
537,HG02428,male,ACB,African Caribbean,AFR,African Ancestry
538,HG02816,male,GWD,Gambian Mandinka,AFR,African Ancestry
539,HG02442,male,ACB,African Caribbean,AFR,African Ancestry
540,HG03369,female,ESN,Esan,AFR,African Ancestry
541,HG02308,female,ACB,African Caribbean,AFR,African Ancestry
542,HG02315,female,ACB,African Caribbean,AFR,African Ancestry
543,HG03376,male,MSL,Mende,AFR,African Ancestry
544,HG02322,female,ACB,African Caribbean,AFR,African Ancestry
545,HG02334,male,ACB,African Caribbean,AFR,African Ancestry
546,HG03388,male,MSL,Mende,AFR,African Ancestry
547,HG02339,female,ACB,African Caribbean,AFR,African Ancestry
548,HG02601,female,PJL,Punjabi,SAS,South Asian Ancestry
549,HG03237,male,PJL,Punjabi,SAS,South Asian Ancestry
550,HG02613,male,GWD,Gambian Mandinka,AFR,African Ancestry
551,HG02384,male,CDX,Dai Chinese,EAS,East Asian Ancestry
552,HG02389,male,CDX,Dai Chinese,EAS,East Asian Ancestry
553,HG03268,male,ESN,Esan,AFR,African Ancestry
554,HG02391,male,CDX,Dai Chinese,EAS,East Asian Ancestry
555,HG02396,male,CDX,Dai Chinese,EAS,East Asian Ancestry
556,HG03458,female,MSL,Mende,AFR,African Ancestry
557,HG03460,male,MSL,Mende,AFR,African Ancestry
558,HG02769,female,GWD,Gambian Mandinka,AFR,African Ancestry
559,HG02771,male,GWD,Gambian Mandinka,AFR,African Ancestry
560,HG03472,male,MSL,Mende,AFR,African Ancestry
561,HG03270,female,ESN,Esan,AFR,African Ancestry
562,HG02783,male,PJL,Punjabi,Punjabi,SAS,South Asia (SGDP),South Asian Ancestry
563,HG03294,female,ESN,Esan,AFR,African Ancestry
564,HG02790,female,PJL,Punjabi,Punjabi,SAS,South Asia (SGDP),South Asian Ancestry
565,HG02808,female,GWD,Gambian Mandinka,AFR,African Ancestry
566,HG03124,male,ESN,Esan,AFR,African Ancestry
567,HG02675,male,GWD,Gambian Mandinka,AFR,African Ancestry
568,HG03129,female,ESN,Esan,AFR,African Ancestry
569,HG02682,female,PJL,Punjabi,SAS,South Asian Ancestry
570,HG02687,male,PJL,Punjabi,SAS,South Asian Ancestry
571,HG03136,male,ESN,Esan,AFR,African Ancestry
572,HG02726,female,PJL,Punjabi,SAS,South Asian Ancestry
573,HG02733,male,PJL,Punjabi,SAS,South Asian Ancestry
574,HG03410,female,MSL,Mende,AFR,African Ancestry
575,HG03439,male,MSL,Mende,AFR,African Ancestry
576,HG02757,female,GWD,Gambian Mandinka,AFR,African Ancestry
577,HG03446,female,MSL,Mende,AFR,African Ancestry
578,HG02694,female,PJL,Punjabi,SAS,South Asian Ancestry
579,HG03193,male,ESN,Esan,AFR,African Ancestry
580,HG02699,male,PJL,Punjabi,SAS,South Asian Ancestry
581,HG03198,female,ESN,Esan,AFR,African Ancestry
582,HG02702,male,GWD,Gambian Mandinka,AFR,African Ancestry
583,HG03225,male,MSL,Mende,AFR,African Ancestry
584,HG02721,male,GWD,Gambian Mandinka,AFR,African Ancestry
585,HG02810,male,GWD,Gambian Mandinka,AFR,African Ancestry
586,HG03352,male,ESN,Esan,AFR,African Ancestry
587,HG03162,female,ESN,Esan,AFR,African Ancestry
588,HG02839,male,GWD,Gambian Mandinka,AFR,African Ancestry
589,HG02649,female,PJL,Punjabi,SAS,South Asian Ancestry
590,HG03484,male,MSL,Mende,AFR,African Ancestry
591,HG02651,male,PJL,Punjabi,SAS,South Asian Ancestry
592,HG02656,male,PJL,Punjabi,SAS,South Asian Ancestry
593,HG03491,female,PJL,Punjabi,SAS,South Asian Ancestry
594,HG03511,female,ESN,Esan,AFR,African Ancestry
595,HG02860,male,GWD,Gambian Mandinka,AFR,African Ancestry
596,HG02884,male,GWD,Gambian Mandinka,AFR,African Ancestry
597,HG03693,male,STU,Tamil,SAS,South Asian Ancestry
598,HG02620,male,GWD,Gambian Mandinka,AFR,African Ancestry
599,HG03698,female,STU,Tamil,SAS,South Asian Ancestry
600,HG03706,female,PJL,Punjabi,SAS,South Asian Ancestry
601,HG03713,male,ITU,Telugu,SAS,South Asian Ancestry
602,HG03015,male,PJL,Punjabi,SAS,South Asian Ancestry
603,HG03718,male,ITU,Telugu,SAS,South Asian Ancestry
604,HG03022,female,PJL,Punjabi,SAS,South Asian Ancestry
605,HG03720,male,ITU,Telugu,SAS,South Asian Ancestry
606,HG03027,male,GWD,Gambian Mandinka,AFR,African Ancestry
607,HG03039,male,GWD,Gambian Mandinka,AFR,African Ancestry
608,HG03600,male,BEB,Bengali,SAS,South Asian Ancestry
609,HG03046,female,GWD,Gambian Mandinka,AFR,African Ancestry
610,HG03624,male,PJL,Punjabi,SAS,South Asian Ancestry
611,HG03058,female,MSL,Mende,AFR,African Ancestry
612,HG03629,male,PJL,Punjabi,SAS,South Asian Ancestry
613,HG03060,male,MSL,Mende,AFR,African Ancestry
614,HG03744,male,STU,Tamil,SAS,South Asian Ancestry
615,HG03756,female,STU,Tamil,SAS,South Asian Ancestry
616,HG02891,female,GWD,Gambian Mandinka,AFR,African Ancestry
617,HG02896,female,GWD,Gambian Mandinka,AFR,African Ancestry
618,HG03770,female,ITU,Telugu,SAS,South Asian Ancestry
619,HG02923,male,ESN,Esan,AFR,African Ancestry
620,HG03631,female,PJL,Punjabi,SAS,South Asian Ancestry
621,HG03636,male,PJL,Punjabi,SAS,South Asian Ancestry
622,HG02947,male,ESN,Esan,AFR,African Ancestry
623,HG03643,female,STU,Tamil,SAS,South Asian Ancestry
624,HG03072,male,MSL,Mende,AFR,African Ancestry
625,HG03667,male,PJL,Punjabi,SAS,South Asian Ancestry
626,HG03077,male,MSL,Mende,AFR,African Ancestry
627,HG03679,male,STU,Tamil,SAS,South Asian Ancestry
628,HG03084,male,MSL,Mende,AFR,African Ancestry
629,HG03681,male,STU,Tamil,SAS,South Asian Ancestry
630,HG03091,female,MSL,Mende,AFR,African Ancestry
631,HG03686,male,STU,Tamil,SAS,South Asian Ancestry
632,HG03547,male,MSL,Mende,AFR,African Ancestry
633,HG03559,male,MSL,Mende,AFR,African Ancestry
634,HG03212,female,MSL,Mende,AFR,African Ancestry
635,HG03224,male,MSL,Mende,AFR,African Ancestry
636,HG03578,female,MSL,Mende,AFR,African Ancestry
637,HG03229,female,PJL,Punjabi,SAS,South Asian Ancestry
638,HG03585,male,BEB,Bengali,SAS,South Asian Ancestry
639,HG03096,male,MSL,Mende,AFR,African Ancestry
640,HG03802,female,BEB,Bengali,SAS,South Asian Ancestry
641,HG03109,male,ESN,Esan,AFR,African Ancestry
642,HG03111,female,ESN,Esan,AFR,African Ancestry
643,HG03814,female,BEB,Bengali,SAS,South Asian Ancestry
644,HG03821,male,BEB,Bengali,SAS,South Asian Ancestry
645,HG04014,female,ITU,Telugu,SAS,South Asian Ancestry
646,HG04019,male,ITU,Telugu,SAS,South Asian Ancestry
647,HG02973,male,ESN,Esan,AFR,African Ancestry
648,HG04026,female,ITU,Telugu,SAS,South Asian Ancestry
649,HG04033,male,STU,Tamil,SAS,South Asian Ancestry
650,HG04038,female,STU,Tamil,SAS,South Asian Ancestry
651,HG03123,female,ESN,Esan,AFR,African Ancestry
652,HG03130,male,ESN,Esan,AFR,African Ancestry
653,HG03941,male,BEB,Bengali,SAS,South Asian Ancestry
654,HG03135,female,ESN,Esan,AFR,African Ancestry
655,HG03953,male,STU,Tamil,SAS,South Asian Ancestry
656,HG03159,female,ESN,Esan,AFR,African Ancestry
657,HG03960,male,ITU,Telugu,SAS,South Asian Ancestry
658,HG03965,male,ITU,Telugu,SAS,South Asian Ancestry
659,HG03166,male,ESN,Esan,AFR,African Ancestry
660,HG03908,male,BEB,Bengali,SAS,South Asian Ancestry
661,HG03910,female,BEB,Bengali,SAS,South Asian Ancestry
662,HG03476,female,MSL,Mende,AFR,African Ancestry
663,HG03488,female,PJL,Punjabi,SAS,South Asian Ancestry
664,HG03922,female,BEB,Bengali,SAS,South Asian Ancestry
665,HG03490,male,PJL,Punjabi,SAS,South Asian Ancestry
666,HG03934,female,BEB,Bengali,SAS,South Asian Ancestry
667,HG03826,female,BEB,Bengali,SAS,South Asian Ancestry
668,HG03515,male,ESN,Esan,AFR,African Ancestry
669,HG03833,male,BEB,Bengali,SAS,South Asian Ancestry
670,HG03838,female,STU,Tamil,SAS,South Asian Ancestry
671,HG03845,male,STU,Tamil,SAS,South Asian Ancestry
672,HG03267,female,ESN,Esan,AFR,African Ancestry
673,HG03857,female,STU,Tamil,SAS,South Asian Ancestry
674,HG03572,female,MSL,Mende,AFR,African Ancestry
675,HG03864,male,ITU,Telugu,SAS,South Asian Ancestry
676,HG03577,male,MSL,Mende,AFR,African Ancestry
677,HG03869,male,ITU,Telugu,SAS,South Asian Ancestry
678,HG03584,female,MSL,Mende,AFR,African Ancestry
679,HG03871,male,ITU,Telugu,SAS,South Asian Ancestry
680,HG03589,female,BEB,Bengali,SAS,South Asian Ancestry
681,HG03775,male,ITU,Telugu,SAS,South Asian Ancestry
682,HG03782,female,ITU,Telugu,SAS,South Asian Ancestry
683,HG03539,female,GWD,Gambian Mandinka,AFR,African Ancestry
684,HG03787,female,ITU,Telugu,SAS,South Asian Ancestry
685,HG03558,female,MSL,Mende,AFR,African Ancestry
686,HG03565,male,MSL,Mende,AFR,African Ancestry
687,HG03888,female,STU,Tamil,SAS,South Asian Ancestry
688,HG03890,male,STU,Tamil,SAS,South Asian Ancestry
689,HG03895,female,STU,Tamil,SAS,South Asian Ancestry
690,HG03419,female,MSL,Mende,AFR,African Ancestry
691,HG03433,male,MSL,Mende,AFR,African Ancestry
692,HG03977,female,ITU,Telugu,SAS,South Asian Ancestry
693,HG03445,male,MSL,Mende,AFR,African Ancestry
694,HG03989,female,STU,Tamil,SAS,South Asian Ancestry
695,HG03452,female,MSL,Mende,AFR,African Ancestry
696,HG03991,male,STU,Tamil,SAS,South Asian Ancestry
697,HG03457,male,MSL,Mende,AFR,African Ancestry
698,HG04002,male,ITU,Telugu,SAS,South Asian Ancestry
699,HG03464,female,MSL,Mende,AFR,African Ancestry
700,NA10865,male,CEU,CEPH,EUR,European Ancestry
701,HG03469,male,MSL,Mende,AFR,African Ancestry
702,NA11832,female,CEU,CEPH,EUR,European Ancestry
703,NA11882,female,CEU,CEPH,EUR,European Ancestry
704,HG03279,female,ESN,Esan,AFR,African Ancestry
705,NA11894,female,CEU,CEPH,EUR,European Ancestry
706,NA11919,male,CEU,CEPH,EUR,European Ancestry
707,HG03298,male,ESN,Esan,AFR,African Ancestry
708,NA11933,female,CEU,CEPH,EUR,European Ancestry
709,HG03301,male,ESN,Esan,AFR,African Ancestry
710,NA11995,female,CEU,CEPH,EUR,European Ancestry
711,NA12006,female,CEU,CEPH,EUR,European Ancestry
712,NA12044,female,CEU,CEPH,EUR,European Ancestry
713,HG03370,male,ESN,Esan,AFR,African Ancestry
714,NA12056,male,CEU,CEPH,EUR,European Ancestry
715,HG03382,male,MSL,Mende,AFR,African Ancestry
716,NA12145,female,CEU,CEPH,EUR,European Ancestry
717,HG03394,male,MSL,Mende,AFR,African Ancestry
718,NA12234,female,CEU,CEPH,EUR,European Ancestry
719,HG03313,male,ESN,Esan,AFR,African Ancestry
720,NA12239,female,CEU,CEPH,EUR,European Ancestry
721,NA12272,male,CEU,CEPH,EUR,European Ancestry
722,HG03351,female,ESN,Esan,AFR,African Ancestry
723,NA12335,male,CEU,CEPH,EUR,European Ancestry
724,HG03363,female,ESN,Esan,AFR,African Ancestry
725,NA12342,male,CEU,CEPH,EUR,European Ancestry
726,HG03692,female,STU,Tamil,SAS,South Asian Ancestry
727,NA12347,male,CEU,CEPH,EUR,European Ancestry
728,HG03697,male,STU,Tamil,SAS,South Asian Ancestry
729,NA12400,female,CEU,CEPH,EUR,European Ancestry
730,NA12708,female,CEU,CEPH,EUR,European Ancestry
731,HG03705,male,PJL,Punjabi,SAS,South Asian Ancestry
732,NA12739,male,CEU,CEPH,EUR,European Ancestry
733,HG03774,female,ITU,Telugu,SAS,South Asian Ancestry
734,NA12753,female,CEU,CEPH,EUR,European Ancestry
735,HG03779,male,ITU,Telugu,SAS,South Asian Ancestry
736,NA12760,male,CEU,CEPH,EUR,European Ancestry
737,HG03781,female,ITU,Telugu,SAS,South Asian Ancestry
738,NA12777,male,CEU,CEPH,EUR,European Ancestry
739,HG03786,male,ITU,Telugu,SAS,South Asian Ancestry
740,NA12828,female,CEU,CEPH,EUR,European Ancestry
741,HG03793,female,BEB,Bengali,SAS,South Asian Ancestry
742,NA12830,female,CEU,CEPH,EUR,European Ancestry
743,HG04211,male,ITU,Telugu,SAS,South Asian Ancestry
744,HG03832,female,BEB,Bengali,SAS,South Asian Ancestry
745,HG04216,female,ITU,Telugu,SAS,South Asian Ancestry
746,HG03837,male,STU,Tamil,SAS,South Asian Ancestry
747,HG03844,male,STU,Tamil,SAS,South Asian Ancestry
748,HG04235,male,ITU,Telugu,SAS,South Asian Ancestry
749,HG03750,male,STU,Tamil,SAS,South Asian Ancestry
750,NA06984,male,CEU,CEPH,EUR,European Ancestry
751,HG03755,male,STU,Tamil,SAS,South Asian Ancestry
752,NA06989,female,CEU,CEPH,EUR,European Ancestry
753,HG03762,female,PJL,Punjabi,SAS,South Asian Ancestry
754,NA06991,female,CEU,CEPH,EUR,European Ancestry
755,HG03767,male,PJL,Punjabi,SAS,South Asian Ancestry
756,NA07014,female,CEU,CEPH,EUR,European Ancestry
757,NA07019,female,CEU,CEPH,EUR,European Ancestry
758,HG03642,female,STU,Tamil,SAS,South Asian Ancestry
759,NA07045,female,CEU,CEPH,EUR,European Ancestry
760,NA07348,female,CEU,CEPH,EUR,European Ancestry
761,HG03717,female,ITU,Telugu,SAS,South Asian Ancestry
762,HG03729,male,ITU,Telugu,SAS,South Asian Ancestry
763,HG03731,female,ITU,Telugu,SAS,South Asian Ancestry
764,HG03736,female,STU,Tamil,SAS,South Asian Ancestry
765,HG04134,male,BEB,Bengali,SAS,South Asian Ancestry
766,HG03743,male,STU,Tamil,SAS,South Asian Ancestry
767,HG04141,female,BEB,Bengali,SAS,South Asian Ancestry
768,HG03673,female,STU,Tamil,SAS,South Asian Ancestry
769,HG04146,male,BEB,Bengali,SAS,South Asian Ancestry
770,HG03680,male,STU,Tamil,SAS,South Asian Ancestry
771,HG03685,male,STU,Tamil,SAS,South Asian Ancestry
772,HG04189,female,BEB,Bengali,SAS,South Asian Ancestry
773,HG04209,female,ITU,Telugu,SAS,South Asian Ancestry
774,NA10839,female,CEU,CEPH,EUR,European Ancestry
775,HG03604,female,BEB,Bengali,SAS,South Asian Ancestry
776,NA10846,male,CEU,CEPH,EUR,European Ancestry
777,HG03611,female,BEB,Bengali,SAS,South Asian Ancestry
778,NA10853,male,CEU,CEPH,EUR,European Ancestry
779,HG03616,female,BEB,Bengali,SAS,South Asian Ancestry
780,NA10860,male,CEU,CEPH,EUR,European Ancestry
781,HG04099,female,STU,Tamil,SAS,South Asian Ancestry
782,HG04153,female,BEB,Bengali,SAS,South Asian Ancestry
783,HG04107,male,STU,Tamil,SAS,South Asian Ancestry
784,HG04158,male,BEB,Bengali,SAS,South Asian Ancestry
785,HG04177,female,BEB,Bengali,SAS,South Asian Ancestry
786,HG04140,male,BEB,Bengali,SAS,South Asian Ancestry
787,HG04076,female,ITU,Telugu,SAS,South Asian Ancestry
788,HG03882,female,ITU,Telugu,SAS,South Asian Ancestry
789,HG04090,female,ITU,Telugu,SAS,South Asian Ancestry
790,HG03887,male,STU,Tamil,SAS,South Asian Ancestry
791,NA12842,male,CEU,CEPH,EUR,European Ancestry
792,HG03894,female,STU,Tamil,SAS,South Asian Ancestry
793,NA12873,female,CEU,CEPH,EUR,European Ancestry
794,HG03899,male,STU,Tamil,SAS,South Asian Ancestry
795,NA12878,female,CEU,CEPH,EUR,European Ancestry
796,HG03902,male,BEB,Bengali,SAS,South Asian Ancestry
797,NA12892,female,CEU,CEPH,EUR,European Ancestry
798,HG04056,male,ITU,Telugu,SAS,South Asian Ancestry
799,NA18484,female,YRI,Yoruba,AFR,African Ancestry
800,HG04063,female,ITU,Telugu,SAS,South Asian Ancestry
801,NA18489,female,YRI,Yoruba,AFR,African Ancestry
802,HG04070,female,ITU,Telugu,SAS,South Asian Ancestry
803,NA18504,male,YRI,Yoruba,AFR,African Ancestry
804,HG04075,female,STU,Tamil,SAS,South Asian Ancestry
805,NA18509,male,YRI,Yoruba,AFR,African Ancestry
806,HG04094,male,ITU,Telugu,SAS,South Asian Ancestry
807,NA18511,female,YRI,Yoruba,AFR,African Ancestry
808,HG03849,female,STU,Tamil,SAS,South Asian Ancestry
809,NA18516,male,YRI,Yoruba,AFR,African Ancestry
810,HG03851,male,STU,Tamil,SAS,South Asian Ancestry
811,NA18523,female,YRI,Yoruba,AFR,African Ancestry
812,HG03856,male,STU,Tamil,SAS,South Asian Ancestry
813,NA18528,female,CHB,Han Chinese,EAS,East Asian Ancestry
814,HG03863,female,ITU,Telugu,SAS,South Asian Ancestry
815,NA18530,male,CHB,Han Chinese,EAS,East Asian Ancestry
816,HG03868,female,ITU,Telugu,SAS,South Asian Ancestry
817,NA18535,female,CHB,Han Chinese,EAS,East Asian Ancestry
818,HG03870,male,ITU,Telugu,SAS,South Asian Ancestry
819,NA18542,female,CHB,Han Chinese,EAS,East Asian Ancestry
820,HG03875,male,ITU,Telugu,SAS,South Asian Ancestry
821,NA18547,female,CHB,Han Chinese,EAS,East Asian Ancestry
822,HG04152,male,BEB,Bengali,SAS,South Asian Ancestry
823,NA18559,male,CHB,Han Chinese,EAS,East Asian Ancestry
824,NA18561,male,CHB,Han Chinese,EAS,East Asian Ancestry
825,HG04164,male,BEB,Bengali,SAS,South Asian Ancestry
826,NA18566,female,CHB,Han Chinese,EAS,East Asian Ancestry
827,HG04171,female,BEB,Bengali,SAS,South Asian Ancestry
828,NA18573,female,CHB,Han Chinese,EAS,East Asian Ancestry
829,HG04176,male,BEB,Bengali,SAS,South Asian Ancestry
830,NA18592,female,CHB,Han Chinese,EAS,East Asian Ancestry
831,HG03971,male,ITU,Telugu,SAS,South Asian Ancestry
832,NA18597,female,CHB,Han Chinese,EAS,East Asian Ancestry
833,HG03976,male,ITU,Telugu,SAS,South Asian Ancestry
834,NA18605,male,CHB,Han Chinese,EAS,East Asian Ancestry
835,NA18612,male,CHB,Han Chinese,EAS,East Asian Ancestry
836,HG03990,male,STU,Tamil,SAS,South Asian Ancestry
837,NA18617,female,CHB,Han Chinese,EAS,East Asian Ancestry
838,HG03995,female,STU,Tamil,SAS,South Asian Ancestry
839,NA18624,male,CHB,Han Chinese,EAS,East Asian Ancestry
840,HG04001,female,ITU,Telugu,SAS,South Asian Ancestry
841,NA18629,male,CHB,Han Chinese,EAS,East Asian Ancestry
842,HG03940,female,BEB,Bengali,SAS,South Asian Ancestry
843,NA18631,female,CHB,Han Chinese,EAS,East Asian Ancestry
844,HG03945,female,STU,Tamil,SAS,South Asian Ancestry
845,NA18636,male,CHB,Han Chinese,EAS,East Asian Ancestry
846,HG03969,male,ITU,Telugu,SAS,South Asian Ancestry
847,NA18643,male,CHB,Han Chinese,EAS,East Asian Ancestry
848,HG04006,male,STU,Tamil,SAS,South Asian Ancestry
849,NA18648,male,CHB,Han Chinese,EAS,East Asian Ancestry
850,HG04018,female,ITU,Telugu,SAS,South Asian Ancestry
851,NA18749,male,CHB,Han Chinese,EAS,East Asian Ancestry
852,HG04020,male,ITU,Telugu,SAS,South Asian Ancestry
853,NA18794,male,CHB,Han Chinese,EAS,East Asian Ancestry
854,HG04025,female,ITU,Telugu,SAS,South Asian Ancestry
855,NA18915,male,YRI,Yoruba,AFR,African Ancestry
856,HG04037,female,STU,Tamil,SAS,South Asian Ancestry
857,NA18934,male,YRI,Yoruba,AFR,African Ancestry
858,HG03907,female,BEB,Bengali,SAS,South Asian Ancestry
859,NA18939,female,JPT,Japanese,EAS,East Asian Ancestry
860,HG03914,male,BEB,Bengali,SAS,South Asian Ancestry
861,NA18941,female,JPT,Japanese,EAS,East Asian Ancestry
862,HG03919,female,BEB,Bengali,SAS,South Asian Ancestry
863,NA18946,female,JPT,Japanese,EAS,East Asian Ancestry
864,HG03926,male,BEB,Bengali,SAS,South Asian Ancestry
865,NA18953,male,JPT,Japanese,EAS,East Asian Ancestry
866,NA18534,male,CHB,Han Chinese,EAS,East Asian Ancestry
867,NA18960,male,JPT,Japanese,EAS,East Asian Ancestry
868,NA18539,female,CHB,Han Chinese,EAS,East Asian Ancestry
869,NA18965,male,JPT,Japanese,EAS,East Asian Ancestry
870,NA18541,female,CHB,Han Chinese,EAS,East Asian Ancestry
871,NA18972,female,JPT,Japanese,EAS,East Asian Ancestry
872,NA18546,male,CHB,Han Chinese,EAS,East Asian Ancestry
873,NA18977,male,JPT,Japanese,EAS,East Asian Ancestry
874,NA18553,female,CHB,Han Chinese,EAS,East Asian Ancestry
875,NA18984,male,JPT,Japanese,EAS,East Asian Ancestry
876,NA18558,male,CHB,Han Chinese,EAS,East Asian Ancestry
877,NA18989,male,JPT,Japanese,EAS,East Asian Ancestry
