,sample,sex,pop,pop_name,superpop,superpop_name
102,HG00276,female,FIN,Finnish,EUR,European Ancestry
103,HG00319,female,FIN,Finnish,EUR,European Ancestry
104,HG00288,female,FIN,Finnish,EUR,European Ancestry
105,HG00321,male,FIN,Finnish,EUR,European Ancestry
106,HG00290,male,FIN,Finnish,EUR,European Ancestry
107,HG00326,female,FIN,Finnish,EUR,European Ancestry
108,HG00978,female,CDX,Dai Chinese,EAS,East Asian Ancestry
109,HG00338,male,FIN,Finnish,EUR,European Ancestry
110,HG01046,female,CDX,Dai Chinese,EAS,East Asian Ancestry
111,HG00345,male,FIN,Finnish,EUR,European Ancestry
112,HG01053,female,PUR,Puerto Rican,AMR,American Ancestry
113,HG00357,female,FIN,Finnish,EUR,European Ancestry
114,HG01058,female,PUR,Puerto Rican,AMR,American Ancestry
115,HG00364,female,FIN,Finnish,EUR,European Ancestry
116,HG01060,male,PUR,Puerto Rican,AMR,American Ancestry
117,HG00369,male,FIN,Finnish,EUR,European Ancestry
118,HG01072,male,PUR,Puerto Rican,AMR,American Ancestry
119,HG00371,male,FIN,Finnish,EUR,European Ancestry
120,HG01077,female,PUR,Puerto Rican,AMR,American Ancestry
121,HG00376,female,FIN,Finnish,EUR,European Ancestry
122,HG01084,female,PUR,Puerto Rican,AMR,American Ancestry
123,HG00383,female,FIN,Finnish,EUR,European Ancestry
124,HG01089,female,PUR,Puerto Rican,AMR,American Ancestry
125,HG00403,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
126,HG01096,male,PUR,Puerto Rican,AMR,American Ancestry
127,HG00408,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
128,HG01104,male,PUR,Puerto Rican,AMR,American Ancestry
129,HG00097,female,GBR,British,EUR,European Ancestry
130,HG01173,male,PUR,Puerto Rican,AMR,American Ancestry
131,HG00100,female,GBR,British,EUR,European Ancestry
132,HG01178,male,PUR,Puerto Rican,AMR,American Ancestry
133,HG00105,male,GBR,British,EUR,European Ancestry
134,HG01192,male,PUR,Puerto Rican,AMR,American Ancestry
135,HG00112,male,GBR,British,EUR,European Ancestry
