FID,IID,O.HOM.,E.HOM.,N.NM.,F,pop,super_pop,gender,...5,...6,n_pop
HG01672,HG01672,1063683,1058000,1099336,0.1316,IBS,EUR,male,NA,NA,107
HG01673,HG01673,1063956,1058000,1099315,0.1386,IBS,EUR,female,NA,NA,107
HG01675,HG01675,1063195,1058000,1099349,0.1196,IBS,EUR,male,NA,NA,107
HG01676,HG01676,1061423,1058000,1099339,0.07656,IBS,EUR,female,NA,NA,107
HG01678,HG01678,1065278,1058000,1099339,0.1704,IBS,EUR,male,NA,NA,107
HG01679,HG01679,1065939,1058000,1099318,0.1869,IBS,EUR,female,NA,NA,107
HG01680,HG01680,1063500,1058000,1099340,0.1271,IBS,EUR,male,NA,NA,107
HG01682,HG01682,1065352,1058000,1099341,0.1722,IBS,EUR,male,NA,NA,107
HG01684,HG01684,1064442,1058000,1099356,0.1497,IBS,EUR,female,NA,NA,107
HG01685,HG01685,1061922,1058000,1099345,0.08856,IBS,EUR,female,NA,NA,107
HG01686,HG01686,1064410,1058000,1099345,0.1491,IBS,EUR,male,NA,NA,107
HG01694,HG01694,1064079,1058000,1099341,0.1411,IBS,EUR,male,NA,NA,107
HG01695,HG01695,1062721,1058000,1099330,0.1083,IBS,EUR,female,NA,NA,107
HG01697,HG01697,1065737,1058000,1099370,0.1811,IBS,EUR,female,NA,NA,107
HG01699,HG01699,1063810,1058000,1099334,0.1347,IBS,EUR,male,NA,NA,107
HG01700,HG01700,1063889,1058000,1099346,0.1364,IBS,EUR,male,NA,NA,107
HG01702,HG01702,1064539,1058000,1099339,0.1524,IBS,EUR,female,NA,NA,107
HG01704,HG01704,1061781,1058000,1099333,0.08532,IBS,EUR,female,NA,NA,107
HG01705,HG01705,1064819,1058000,1099361,0.1589,IBS,EUR,male,NA,NA,107
HG01707,HG01707,1064701,1058000,1099354,0.1561,IBS,EUR,female,NA,NA,107
HG01708,HG01708,1063968,1058000,1099332,0.1386,IBS,EUR,male,NA,NA,107
HG01709,HG01709,1061951,1058000,1099324,0.08964,IBS,EUR,male,NA,NA,107
HG01710,HG01710,1066030,1058000,1099343,0.1887,IBS,EUR,female,NA,NA,107
HG01746,HG01746,1062982,1058000,1099334,0.1146,IBS,EUR,female,NA,NA,107
HG01747,HG01747,1062366,1058000,1099337,0.09951,IBS,EUR,male,NA,NA,107
HG01756,HG01756,1063302,1058000,1099344,0.1222,IBS,EUR,male,NA,NA,107
HG01757,HG01757,1064209,1058000,1099363,0.144,IBS,EUR,female,NA,NA,107
HG01761,HG01761,1064323,1058000,1099337,0.1472,IBS,EUR,male,NA,NA,107
HG01762,HG01762,1063746,1058000,1099349,0.1329,IBS,EUR,female,NA,NA,107
HG01765,HG01765,1064900,1058000,1099349,0.1611,IBS,EUR,male,NA,NA,107
HG01766,HG01766,1063099,1058000,1099311,0.1179,IBS,EUR,female,NA,NA,107
HG01767,HG01767,1063715,1058000,1099332,0.1324,IBS,EUR,male,NA,NA,107
HG01768,HG01768,1065338,1058000,1099342,0.1718,IBS,EUR,female,NA,NA,107
HG01770,HG01770,1066068,1058000,1099353,0.1894,IBS,EUR,female,NA,NA,107
HG01771,HG01771,1063592,1058000,1099348,0.1292,IBS,EUR,male,NA,NA,107
HG01773,HG01773,1064145,1058000,1099342,0.1428,IBS,EUR,female,NA,NA,107
HG01775,HG01775,1063307,1058000,1099326,0.1226,IBS,EUR,male,NA,NA,107
HG01776,HG01776,1060911,1058000,1099343,0.06397,IBS,EUR,female,NA,NA,107
HG01777,HG01777,1063898,1058000,1099323,0.1371,IBS,EUR,male,NA,NA,107
HG01779,HG01779,1062112,1058000,1099329,0.09352,IBS,EUR,female,NA,NA,107
HG01781,HG01781,1064547,1058000,1099335,0.1527,IBS,EUR,male,NA,NA,107
HG01783,HG01783,1063600,1058000,1099356,0.1292,IBS,EUR,male,NA,NA,107
HG01784,HG01784,1060750,1058000,1099337,0.06023,IBS,EUR,female,NA,NA,107
HG01785,HG01785,1065231,1058000,1099344,0.1691,IBS,EUR,male,NA,NA,107
HG01786,HG01786,1060482,1058000,1099350,0.05343,IBS,EUR,female,NA,NA,107
HG01789,HG01789,1064015,1058000,1099355,0.1394,GBR,EUR,male,NA,NA,91
HG01790,HG01790,1063217,1058000,1099329,0.1204,GBR,EUR,female,NA,NA,91
HG01791,HG01791,1063868,1058000,1099318,0.1364,GBR,EUR,male,NA,NA,91
HG01794,HG01794,1066928,1058000,1099336,0.2106,CDX,EAS,female,NA,NA,93
HG01795,HG01795,1067676,1058000,1099342,0.2287,CDX,EAS,female,NA,NA,93
HG01796,HG01796,1067069,1058000,1099325,0.2142,CDX,EAS,female,NA,NA,93
HG01797,HG01797,1065295,1058000,1099328,0.171,CDX,EAS,female,NA,NA,93
HG01798,HG01798,1066211,1058000,1099360,0.1928,CDX,EAS,female,NA,NA,93
HG01799,HG01799,1067674,1058000,1099348,0.2286,CDX,EAS,female,NA,NA,93
HG01800,HG01800,1066523,1058000,1099326,0.2009,CDX,EAS,female,NA,NA,93
HG01801,HG01801,1064095,1058000,1099331,0.1417,CDX,EAS,female,NA,NA,93
HG01802,HG01802,1066676,1058000,1099340,0.2044,CDX,EAS,female,NA,NA,93
HG01804,HG01804,1067615,1058000,1099326,0.2275,CDX,EAS,female,NA,NA,93
HG01805,HG01805,1069249,1058000,1099325,0.2673,CDX,EAS,female,NA,NA,93
HG01806,HG01806,1066763,1058000,1099327,0.2068,CDX,EAS,female,NA,NA,93
HG01807,HG01807,1067690,1058000,1099347,0.229,CDX,EAS,female,NA,NA,93
HG01808,HG01808,1067717,1058000,1099334,0.2299,CDX,EAS,female,NA,NA,93
HG01809,HG01809,1067079,1058000,1099336,0.2143,CDX,EAS,female,NA,NA,93
HG01810,HG01810,1064165,1058000,1099322,0.1435,CDX,EAS,male,NA,NA,93
HG01811,HG01811,1066302,1058000,1099338,0.1953,CDX,EAS,male,NA,NA,93
HG01812,HG01812,1067377,1058000,1099321,0.2218,CDX,EAS,female,NA,NA,93
HG01813,HG01813,1069490,1058000,1099343,0.2729,CDX,EAS,female,NA,NA,93
HG01815,HG01815,1068131,1058000,1099335,0.24,CDX,EAS,female,NA,NA,93
HG01816,HG01816,1070186,1058000,1099329,0.2901,CDX,EAS,male,NA,NA,93
HG01817,HG01817,1066959,1058000,1099329,0.2115,CDX,EAS,female,NA,NA,93
HG01840,HG01840,1067308,1058000,1099338,0.2198,KHV,EAS,male,NA,NA,99
HG01841,HG01841,1069715,1058000,1099333,0.2785,KHV,EAS,female,NA,NA,99
HG01842,HG01842,1067444,1058000,1099318,0.2235,KHV,EAS,male,NA,NA,99
HG01843,HG01843,1067296,1058000,1099331,0.2196,KHV,EAS,female,NA,NA,99
HG01844,HG01844,1066364,1058000,1099325,0.1971,KHV,EAS,male,NA,NA,99
HG01845,HG01845,1068438,1058000,1099338,0.2473,KHV,EAS,female,NA,NA,99
HG01846,HG01846,1066108,1058000,1099354,0.1903,KHV,EAS,male,NA,NA,99
HG01847,HG01847,1065267,1058000,1099322,0.1705,KHV,EAS,female,NA,NA,99
HG01848,HG01848,1066532,1058000,1099337,0.201,KHV,EAS,female,NA,NA,99
HG01849,HG01849,1065971,1058000,1099329,0.1875,KHV,EAS,male,NA,NA,99
HG01850,HG01850,1067949,1058000,1099328,0.2356,KHV,EAS,female,NA,NA,99
HG01851,HG01851,1066772,1058000,1099320,0.2071,KHV,EAS,female,NA,NA,99
HG01852,HG01852,1067769,1058000,1099331,0.2312,KHV,EAS,male,NA,NA,99
HG01853,HG01853,1069661,1058000,1099359,0.2768,KHV,EAS,female,NA,NA,99
HG01855,HG01855,1067331,1058000,1099340,0.2204,KHV,EAS,female,NA,NA,99
HG01857,HG01857,1068095,1058000,1099335,0.239,KHV,EAS,female,NA,NA,99
HG01858,HG01858,1065739,1058000,1099342,0.1816,KHV,EAS,female,NA,NA,99
HG01859,HG01859,1068410,1058000,1099340,0.2466,KHV,EAS,female,NA,NA,99
HG01860,HG01860,1067078,1058000,1099341,0.2142,KHV,EAS,male,NA,NA,99
HG01861,HG01861,1067481,1058000,1099334,0.2241,KHV,EAS,male,NA,NA,99
HG01862,HG01862,1065535,1058000,1099335,0.1767,KHV,EAS,female,NA,NA,99
HG01863,HG01863,1066593,1058000,1099335,0.2024,KHV,EAS,female,NA,NA,99
HG01864,HG01864,1066235,1058000,1099313,0.1942,KHV,EAS,male,NA,NA,99
HG01865,HG01865,1065341,1058000,1099343,0.1719,KHV,EAS,male,NA,NA,99
HG01866,HG01866,1067617,1058000,1099329,0.2275,KHV,EAS,male,NA,NA,99
HG01867,HG01867,1068848,1058000,1099316,0.2577,KHV,EAS,male,NA,NA,99
HG01868,HG01868,1066048,1058000,1099308,0.1897,KHV,EAS,female,NA,NA,99
HG01869,HG01869,1067165,1058000,1099329,0.2165,KHV,EAS,female,NA,NA,99
HG01870,HG01870,1063844,1058000,1099331,0.1356,KHV,EAS,female,NA,NA,99
HG01871,HG01871,1067614,1058000,1099328,0.2275,KHV,EAS,female,NA,NA,99
HG01872,HG01872,1067804,1058000,1099329,0.2321,KHV,EAS,male,NA,NA,99
HG01873,HG01873,1064171,1058000,1099321,0.1437,KHV,EAS,male,NA,NA,99
HG01874,HG01874,1065388,1058000,1099309,0.1736,KHV,EAS,female,NA,NA,99
HG01878,HG01878,1063553,1058000,1099301,0.1291,KHV,EAS,female,NA,NA,99
HG01879,HG01879,1052499,1058000,1099212,-0.1386,ACB,AFR,male,NA,NA,96
HG01880,HG01880,1052302,1058000,1099234,-0.1439,ACB,AFR,female,NA,NA,96
HG01882,HG01882,1051920,1058000,1099197,-0.1526,ACB,AFR,male,NA,NA,96
HG01883,HG01883,1054399,1058000,1099256,-0.09312,ACB,AFR,female,NA,NA,96
HG01885,HG01885,1052261,1058000,1099193,-0.1443,ACB,AFR,male,NA,NA,96
HG01886,HG01886,1052814,1058000,1099234,-0.1314,ACB,AFR,female,NA,NA,96
HG01889,HG01889,1051556,1058000,1099173,-0.1611,ACB,AFR,female,NA,NA,96
HG01890,HG01890,1053282,1058000,1099152,-0.1186,ACB,AFR,male,NA,NA,96
HG01892,HG01892,1063918,1058000,1099314,0.1377,PEL,AMR,male,NA,NA,85
HG01893,HG01893,1065111,1058000,1099349,0.1661,PEL,AMR,female,NA,NA,85
HG01894,HG01894,1053926,1058000,1099200,-0.1038,ACB,AFR,female,NA,NA,96
HG01896,HG01896,1054183,1058000,1099173,-0.09709,ACB,AFR,female,NA,NA,96
HG01912,HG01912,1054012,1058000,1099195,-0.1017,ACB,AFR,male,NA,NA,96
HG01914,HG01914,1053352,1058000,1099232,-0.1184,ACB,AFR,male,NA,NA,96
HG01915,HG01915,1052089,1058000,1099205,-0.1486,ACB,AFR,female,NA,NA,96
HG01917,HG01917,1067532,1058000,1099353,0.225,PEL,AMR,male,NA,NA,85
HG01918,HG01918,1064456,1058000,1099342,0.1503,PEL,AMR,female,NA,NA,85
HG01920,HG01920,1072859,1058000,1099363,0.3546,PEL,AMR,male,NA,NA,85
HG01921,HG01921,1068550,1058000,1099355,0.2498,PEL,AMR,female,NA,NA,85
HG01923,HG01923,1074244,1058000,1099372,0.3881,PEL,AMR,male,NA,NA,85
HG01924,HG01924,1057784,1058000,1099308,-0.01158,PEL,AMR,female,NA,NA,85
HG01926,HG01926,1070774,1058000,1099352,0.304,PEL,AMR,male,NA,NA,85
HG01927,HG01927,1073420,1058000,1099366,0.3682,PEL,AMR,female,NA,NA,85
HG01932,HG01932,1069602,1058000,1099346,0.2756,PEL,AMR,male,NA,NA,85
HG01933,HG01933,1060755,1058000,1099321,0.0605,PEL,AMR,female,NA,NA,85
HG01935,HG01935,1064437,1058000,1099339,0.1499,PEL,AMR,male,NA,NA,85
HG01936,HG01936,1070654,1058000,1099351,0.3011,PEL,AMR,female,NA,NA,85
HG01938,HG01938,1071056,1058000,1099344,0.311,PEL,AMR,male,NA,NA,85
HG01939,HG01939,1062139,1058000,1099350,0.09383,PEL,AMR,female,NA,NA,85
HG01941,HG01941,1067821,1058000,1099338,0.2324,PEL,AMR,male,NA,NA,85
HG01942,HG01942,1061642,1058000,1099322,0.08206,PEL,AMR,female,NA,NA,85
HG01944,HG01944,1063040,1058000,1099332,0.116,PEL,AMR,male,NA,NA,85
HG01945,HG01945,1068729,1058000,1099352,0.2542,PEL,AMR,female,NA,NA,85
HG01947,HG01947,1062056,1058000,1099320,0.09223,PEL,AMR,male,NA,NA,85
HG01948,HG01948,1068520,1058000,1099345,0.2493,PEL,AMR,female,NA,NA,85
HG01950,HG01950,1071710,1058000,1099336,0.3271,PEL,AMR,male,NA,NA,85
HG01951,HG01951,1070982,1058000,1099356,0.309,PEL,AMR,female,NA,NA,85
HG01953,HG01953,1068079,1058000,1099344,0.2385,PEL,AMR,male,NA,NA,85
HG01954,HG01954,1066609,1058000,1099343,0.2028,PEL,AMR,female,NA,NA,85
HG01956,HG01956,1054945,1058000,1099195,-0.07894,ACB,AFR,female,NA,NA,96
HG01958,HG01958,1054991,1058000,1099189,-0.07766,ACB,AFR,female,NA,NA,96
HG01961,HG01961,1068521,1058000,1099367,0.2489,PEL,AMR,male,NA,NA,85
HG01965,HG01965,1054198,1058000,1099238,-0.09791,PEL,AMR,female,NA,NA,85
HG01967,HG01967,1062359,1058000,1099327,0.09949,PEL,AMR,male,NA,NA,85
HG01968,HG01968,1070885,1058000,1099332,0.3071,PEL,AMR,female,NA,NA,85
HG01970,HG01970,1065831,1058000,1099322,0.1841,PEL,AMR,male,NA,NA,85
HG01971,HG01971,1056949,1058000,1099324,-0.03218,PEL,AMR,female,NA,NA,85
HG01973,HG01973,1071854,1058000,1099364,0.3301,PEL,AMR,female,NA,NA,85
HG01974,HG01974,1070257,1058000,1099341,0.2916,PEL,AMR,male,NA,NA,85
HG01976,HG01976,1072917,1058000,1099344,0.3564,PEL,AMR,female,NA,NA,85
HG01977,HG01977,1068591,1058000,1099355,0.2508,PEL,AMR,male,NA,NA,85
HG01979,HG01979,1067919,1058000,1099354,0.2344,PEL,AMR,male,NA,NA,85
HG01980,HG01980,1067109,1058000,1099329,0.2152,PEL,AMR,female,NA,NA,85
HG01982,HG01982,1066161,1058000,1099337,0.192,PEL,AMR,male,NA,NA,85
HG01985,HG01985,1052914,1058000,1099173,-0.1281,ACB,AFR,female,NA,NA,96
HG01986,HG01986,1053636,1058000,1099204,-0.111,ACB,AFR,male,NA,NA,96
HG01988,HG01988,1055945,1058000,1099277,-0.05588,ACB,AFR,male,NA,NA,96
HG01989,HG01989,1053352,1058000,1099235,-0.1185,ACB,AFR,female,NA,NA,96
HG01990,HG01990,1054086,1058000,1099205,-0.1001,ACB,AFR,male,NA,NA,96
HG01991,HG01991,1068245,1058000,1099349,0.2425,PEL,AMR,male,NA,NA,85
HG01992,HG01992,1072722,1058000,1099347,0.3515,PEL,AMR,female,NA,NA,85
HG01997,HG01997,1070355,1058000,1099367,0.2935,PEL,AMR,female,NA,NA,85
HG02002,HG02002,1068244,1058000,1099340,0.2426,PEL,AMR,male,NA,NA,85
HG02003,HG02003,1073734,1058000,1099350,0.3761,PEL,AMR,female,NA,NA,85
HG02006,HG02006,1057121,1058000,1099296,-0.02756,PEL,AMR,female,NA,NA,85
HG02008,HG02008,1069383,1058000,1099367,0.2698,PEL,AMR,male,NA,NA,85
HG02009,HG02009,1056273,1058000,1099192,-0.04634,ACB,AFR,male,NA,NA,96
HG02010,HG02010,1053833,1058000,1099223,-0.1063,ACB,AFR,female,NA,NA,96
HG02012,HG02012,1052793,1058000,1099193,-0.1314,ACB,AFR,female,NA,NA,96
HG02013,HG02013,1054079,1058000,1099198,-0.1001,ACB,AFR,male,NA,NA,96
HG02014,HG02014,1054156,1058000,1099201,-0.09822,ACB,AFR,male,NA,NA,96
HG02016,HG02016,1068635,1058000,1099344,0.252,KHV,EAS,female,NA,NA,99
HG02017,HG02017,1067917,1058000,1099359,0.2343,KHV,EAS,male,NA,NA,99
HG02019,HG02019,1067716,1058000,1099360,0.2294,KHV,EAS,female,NA,NA,99
HG02020,HG02020,1067280,1058000,1099341,0.2191,KHV,EAS,male,NA,NA,99
HG02023,HG02023,1064056,1058000,1099310,0.1411,KHV,EAS,male,NA,NA,99
HG02025,HG02025,1067014,1058000,1099315,0.2131,KHV,EAS,female,NA,NA,99
HG02026,HG02026,1066157,1058000,1099325,0.192,KHV,EAS,male,NA,NA,99
HG02028,HG02028,1068578,1058000,1099337,0.2508,KHV,EAS,female,NA,NA,99
HG02029,HG02029,1065763,1058000,1099349,0.182,KHV,EAS,male,NA,NA,99
HG02031,HG02031,1064417,1058000,1099340,0.1494,KHV,EAS,female,NA,NA,99
HG02032,HG02032,1067087,1058000,1099319,0.2148,KHV,EAS,male,NA,NA,99
HG02035,HG02035,1066127,1058000,1099339,0.1911,KHV,EAS,male,NA,NA,99
HG02040,HG02040,1068517,1058000,1099360,0.2489,KHV,EAS,male,NA,NA,99
HG02047,HG02047,1067712,1058000,1099355,0.2294,KHV,EAS,male,NA,NA,99
HG02048,HG02048,1064708,1058000,1099335,0.1565,KHV,EAS,female,NA,NA,99
HG02049,HG02049,1066671,1058000,1099325,0.2046,KHV,EAS,female,NA,NA,99
HG02050,HG02050,1065559,1058000,1099345,0.1771,KHV,EAS,male,NA,NA,99
HG02051,HG02051,1053390,1058000,1099229,-0.1173,ACB,AFR,male,NA,NA,96
HG02052,HG02052,1053134,1058000,1099211,-0.1234,ACB,AFR,female,NA,NA,96
HG02053,HG02053,1055617,1058000,1099174,-0.06215,ACB,AFR,male,NA,NA,96
HG02054,HG02054,1052108,1058000,1099218,-0.1484,ACB,AFR,female,NA,NA,96
HG02057,HG02057,1066520,1058000,1099324,0.2009,KHV,EAS,female,NA,NA,99
HG02058,HG02058,1067977,1058000,1099344,0.236,KHV,EAS,male,NA,NA,99
HG02060,HG02060,1069248,1058000,1099340,0.2671,KHV,EAS,female,NA,NA,99
HG02061,HG02061,1065554,1058000,1099344,0.1771,KHV,EAS,male,NA,NA,99
HG02064,HG02064,1064488,1058000,1099326,0.1513,KHV,EAS,male,NA,NA,99
HG02067,HG02067,1065118,1058000,1099330,0.1666,KHV,EAS,male,NA,NA,99
HG02069,HG02069,1064912,1058000,1099326,0.1617,KHV,EAS,female,NA,NA,99
HG02070,HG02070,1065885,1058000,1099341,0.1851,KHV,EAS,male,NA,NA,99
HG02072,HG02072,1064585,1058000,1099331,0.1537,KHV,EAS,female,NA,NA,99
HG02073,HG02073,1065677,1058000,1099323,0.1803,KHV,EAS,male,NA,NA,99
HG02075,HG02075,1068410,1058000,1099343,0.2466,KHV,EAS,female,NA,NA,99
HG02076,HG02076,1067263,1058000,1099341,0.2187,KHV,EAS,male,NA,NA,99
HG02078,HG02078,1063727,1058000,1099312,0.1331,KHV,EAS,female,NA,NA,99
HG02079,HG02079,1066721,1058000,1099338,0.2056,KHV,EAS,male,NA,NA,99
HG02081,HG02081,1065154,1058000,1099340,0.1674,KHV,EAS,female,NA,NA,99
HG02082,HG02082,1068000,1058000,1099356,0.2364,KHV,EAS,male,NA,NA,99
HG02084,HG02084,1066543,1058000,1099326,0.2014,KHV,EAS,female,NA,NA,99
HG02085,HG02085,1066488,1058000,1099325,0.2001,KHV,EAS,male,NA,NA,99
HG02086,HG02086,1066254,1058000,1099347,0.194,KHV,EAS,female,NA,NA,99
HG02087,HG02087,1069400,1058000,1099330,0.2709,KHV,EAS,female,NA,NA,99
HG02088,HG02088,1066022,1058000,1099331,0.1887,KHV,EAS,male,NA,NA,99
HG02089,HG02089,1068067,1058000,1099345,0.2382,PEL,AMR,female,NA,NA,85
HG02090,HG02090,1065401,1058000,1099321,0.1737,PEL,AMR,male,NA,NA,85
HG02095,HG02095,1056978,1058000,1099201,-0.02941,ACB,AFR,female,NA,NA,96
HG02102,HG02102,1067338,1058000,1099359,0.2202,PEL,AMR,female,NA,NA,85
HG02104,HG02104,1069110,1058000,1099337,0.2638,PEL,AMR,male,NA,NA,85
HG02105,HG02105,1068783,1058000,1099349,0.2556,PEL,AMR,female,NA,NA,85
HG02107,HG02107,1051819,1058000,1099195,-0.155,ACB,AFR,male,NA,NA,96
HG02108,HG02108,1052679,1058000,1099200,-0.1342,ACB,AFR,female,NA,NA,96
HG02111,HG02111,1052184,1058000,1099184,-0.146,ACB,AFR,female,NA,NA,96
HG02113,HG02113,1066075,1058000,1099352,0.1895,KHV,EAS,female,NA,NA,99
HG02116,HG02116,1067946,1058000,1099349,0.2352,KHV,EAS,male,NA,NA,99
HG02121,HG02121,1066595,1058000,1099333,0.2026,KHV,EAS,female,NA,NA,99
HG02122,HG02122,1067576,1058000,1099332,0.2265,KHV,EAS,male,NA,NA,99
HG02127,HG02127,1068083,1058000,1099353,0.2385,KHV,EAS,female,NA,NA,99
HG02128,HG02128,1066228,1058000,1099328,0.1937,KHV,EAS,male,NA,NA,99
HG02130,HG02130,1066289,1058000,1099359,0.1947,KHV,EAS,female,NA,NA,99
HG02131,HG02131,1065611,1058000,1099347,0.1783,KHV,EAS,male,NA,NA,99
HG02133,HG02133,1066457,1058000,1099342,0.199,KHV,EAS,female,NA,NA,99
HG02134,HG02134,1068124,1058000,1099333,0.2398,KHV,EAS,male,NA,NA,99
HG02136,HG02136,1064364,1058000,1099337,0.1481,KHV,EAS,female,NA,NA,99
HG02137,HG02137,1070139,1058000,1099361,0.2883,KHV,EAS,male,NA,NA,99
HG02138,HG02138,1067655,1058000,1099344,0.2281,KHV,EAS,male,NA,NA,99
HG02139,HG02139,1065408,1058000,1099327,0.1738,KHV,EAS,female,NA,NA,99
HG02140,HG02140,1068051,1058000,1099321,0.2382,KHV,EAS,female,NA,NA,99
HG02141,HG02141,1066692,1058000,1099347,0.2047,KHV,EAS,male,NA,NA,99
HG02142,HG02142,1067563,1058000,1099349,0.2258,KHV,EAS,female,NA,NA,99
HG02143,HG02143,1055678,1058000,1099210,-0.06133,ACB,AFR,male,NA,NA,96
HG02144,HG02144,1051122,1058000,1099202,-0.172,ACB,AFR,female,NA,NA,96
HG02146,HG02146,1069103,1058000,1099358,0.2632,PEL,AMR,male,NA,NA,85
HG02147,HG02147,1072569,1058000,1099355,0.3476,PEL,AMR,female,NA,NA,85
HG02150,HG02150,1070126,1058000,1099343,0.2884,PEL,AMR,male,NA,NA,85
HG02151,HG02151,1065451,1058000,1099344,0.1745,CDX,EAS,female,NA,NA,93
HG02152,HG02152,1065371,1058000,1099342,0.1726,CDX,EAS,female,NA,NA,93
HG02153,HG02153,1068476,1058000,1099359,0.2479,CDX,EAS,female,NA,NA,93
HG02154,HG02154,1076531,1058000,1099355,0.4442,CDX,EAS,female,NA,NA,93
HG02155,HG02155,1066862,1058000,1099335,0.209,CDX,EAS,female,NA,NA,93
HG02156,HG02156,1069758,1058000,1099340,0.2795,CDX,EAS,female,NA,NA,93
HG02164,HG02164,1068848,1058000,1099312,0.2579,CDX,EAS,female,NA,NA,93
HG02165,HG02165,1067556,1058000,1099340,0.2259,CDX,EAS,female,NA,NA,93
HG02166,HG02166,1064507,1058000,1099342,0.1515,CDX,EAS,female,NA,NA,93
HG02178,HG02178,1068212,1058000,1099346,0.2417,CDX,EAS,female,NA,NA,93
HG02179,HG02179,1065372,1058000,1099352,0.1724,CDX,EAS,female,NA,NA,93
HG02180,HG02180,1068187,1058000,1099339,0.2412,CDX,EAS,female,NA,NA,93
HG02181,HG02181,1068634,1058000,1099358,0.2518,CDX,EAS,female,NA,NA,93
HG02182,HG02182,1070933,1058000,1099346,0.308,CDX,EAS,female,NA,NA,93
HG02184,HG02184,1069695,1058000,1099342,0.2779,CDX,EAS,female,NA,NA,93
HG02185,HG02185,1068777,1058000,1099349,0.2555,CDX,EAS,female,NA,NA,93
HG02186,HG02186,1067283,1058000,1099336,0.2193,CDX,EAS,female,NA,NA,93
HG02187,HG02187,1068928,1058000,1099347,0.2591,CDX,EAS,female,NA,NA,93
HG02188,HG02188,1068391,1058000,1099331,0.2463,CDX,EAS,female,NA,NA,93
HG02190,HG02190,1067454,1058000,1099335,0.2234,CDX,EAS,female,NA,NA,93
HG02215,HG02215,1064470,1058000,1099368,0.1502,GBR,EUR,female,NA,NA,91
HG02219,HG02219,1063763,1058000,1099345,0.1334,IBS,EUR,male,NA,NA,107
HG02220,HG02220,1063331,1058000,1099338,0.123,IBS,EUR,female,NA,NA,107
HG02221,HG02221,1064062,1058000,1099335,0.1408,IBS,EUR,male,NA,NA,107
HG02223,HG02223,1061822,1058000,1099346,0.08611,IBS,EUR,female,NA,NA,107
HG02224,HG02224,1065802,1058000,1099352,0.1829,IBS,EUR,male,NA,NA,107
HG02230,HG02230,1063686,1058000,1099328,0.1318,IBS,EUR,female,NA,NA,107
HG02231,HG02231,1066060,1058000,1099343,0.1894,IBS,EUR,male,NA,NA,107
HG02232,HG02232,1064188,1058000,1099337,0.1439,IBS,EUR,female,NA,NA,107
HG02233,HG02233,1065978,1058000,1099332,0.1876,IBS,EUR,male,NA,NA,107
HG02235,HG02235,1063005,1058000,1099343,0.1149,IBS,EUR,female,NA,NA,107
HG02236,HG02236,1061748,1058000,1099352,0.08422,IBS,EUR,male,NA,NA,107
HG02238,HG02238,1067082,1058000,1099348,0.2142,IBS,EUR,male,NA,NA,107
HG02239,HG02239,1064649,1058000,1099319,0.1555,IBS,EUR,female,NA,NA,107
HG02250,HG02250,1068404,1058000,1099336,0.2466,CDX,EAS,male,NA,NA,93
HG02252,HG02252,1065061,1058000,1099351,0.1649,PEL,AMR,female,NA,NA,85
HG02253,HG02253,1063436,1058000,1099326,0.1258,PEL,AMR,male,NA,NA,85
HG02255,HG02255,1052775,1058000,1099197,-0.1318,ACB,AFR,male,NA,NA,96
HG02256,HG02256,1051325,1058000,1099237,-0.168,ACB,AFR,female,NA,NA,96
HG02259,HG02259,1070020,1058000,1099347,0.2857,PEL,AMR,male,NA,NA,85
HG02260,HG02260,1068319,1058000,1099361,0.244,PEL,AMR,female,NA,NA,85
HG02262,HG02262,1073279,1058000,1099352,0.365,PEL,AMR,male,NA,NA,85
HG02265,HG02265,1073190,1058000,1099366,0.3626,PEL,AMR,male,NA,NA,85
HG02266,HG02266,1068155,1058000,1099356,0.2402,PEL,AMR,female,NA,NA,85
HG02271,HG02271,1073063,1058000,1099358,0.3596,PEL,AMR,male,NA,NA,85
HG02272,HG02272,1072060,1058000,1099359,0.3352,PEL,AMR,female,NA,NA,85
HG02274,HG02274,1063035,1058000,1099315,0.1162,PEL,AMR,male,NA,NA,85
HG02275,HG02275,1076075,1058000,1099370,0.4327,PEL,AMR,female,NA,NA,85
HG02277,HG02277,1070268,1058000,1099346,0.2918,PEL,AMR,male,NA,NA,85
HG02278,HG02278,1072204,1058000,1099353,0.3388,PEL,AMR,female,NA,NA,85
HG02281,HG02281,1052034,1058000,1099199,-0.1499,ACB,AFR,male,NA,NA,96
HG02282,HG02282,1051544,1058000,1099189,-0.1616,ACB,AFR,female,NA,NA,96
HG02283,HG02283,1050973,1058000,1099186,-0.1755,ACB,AFR,male,NA,NA,96
HG02284,HG02284,1053792,1058000,1099206,-0.1072,ACB,AFR,male,NA,NA,96
HG02285,HG02285,1069399,1058000,1099358,0.2704,PEL,AMR,male,NA,NA,85
HG02286,HG02286,1065108,1058000,1099339,0.1663,PEL,AMR,female,NA,NA,85
HG02291,HG02291,1071609,1058000,1099360,0.3242,PEL,AMR,male,NA,NA,85
HG02292,HG02292,1071082,1058000,1099364,0.3113,PEL,AMR,female,NA,NA,85
HG02298,HG02298,1066952,1058000,1099359,0.2108,PEL,AMR,female,NA,NA,85
HG02299,HG02299,1067030,1058000,1099354,0.2128,PEL,AMR,male,NA,NA,85
HG02301,HG02301,1072654,1058000,1099356,0.3497,PEL,AMR,female,NA,NA,85
